235945,,,,b812,7d,85,20,00,0e,1600,0000,01c3,01bc,03ab,03a0,0de0,0d6f,0d34,0d79,050e,04b0,0caf,0cb2,087f,017c,049d,0267,00aa,015e,0064,0000,fbe9,f666,fcd7,01,00,0000,000000ff,07ffffff,
235946,,,,c812,7d,84,60,00,0d,1700,0000,01ac,01ba,03aa,03a0,0dde,0d71,0d2e,0d79,0511,04af,0caf,0cb2,0876,017d,045f,024b,00aa,0155,0064,0000,fbed,f666,fcd7,01,00,001e,000000ff,07ffffff,
235947,,,,c012,7d,84,70,00,0e,1600,0000,01b9,01ba,03aa,03a0,0ddd,0d73,0d28,0d72,0516,04b0,0c84,0cb2,0865,018b,048f,025d,00aa,014f,0064,0000,fbf0,f666,fcd7,01,00,ffe3,000000ff,07ffffff,
235948,,,,b812,7d,85,10,00,0d,1700,0000,01c5,01ba,03aa,03a0,0ddb,0d75,0d23,0d51,051a,04af,0caf,0cb2,0866,0180,049a,0264,00aa,015b,0064,0000,fbf5,f666,fcd7,01,00,0000,000001ff,07ffffff,
235949,,,,cc12,7d,84,70,00,0d,1600,0000,01ab,01b9,03aa,03a0,0dda,0d75,0d1e,0d58,0520,04af,0caf,0cb2,0864,017c,0447,0247,00aa,0152,0064,0000,fbf8,f666,fcd7,01,00,001e,000000ff,07ffffff,
235950,,,,c012,7d,85,00,00,0e,1500,0000,01b1,01b8,03aa,03a0,0dda,0d76,0d1a,0d6c,0525,04b0,0caf,0cb2,085e,017b,0487,0259,00aa,014c,0064,0000,fbfd,f666,fcd7,01,00,ffe3,000000ff,07ffffff,
235951,,,,bc12,7d,84,50,00,0d,1600,0000,01ba,01b6,03aa,03a0,0dd8,0d77,0d15,0d36,052b,04b0,0c99,0cb2,084c,0184,049c,0266,00aa,015d,0064,0000,fc02,f666,fcd7,01,00,001e,000000ff,07ffffff,
235952,,,,c812,7d,84,70,00,0d,1700,0000,01ad,01b5,03aa,03a0,0dd7,0d78,0d11,0d43,0531,04af,0c99,0cb2,0845,0183,0450,0245,00aa,0151,0064,0000,fc07,f666,fcd7,01,00,003c,000000ff,07ffffff,
235953,,,,c012,7d,84,70,00,0d,1500,0000,01ad,01b4,03aa,03a0,0dd8,0d78,0d0e,0d4a,0538,04b0,0caf,0cb2,0842,0180,0483,0257,00aa,014a,0064,0000,fc0b,f666,fcca,01,00,ffe3,000001ff,07ffffff,
235954,,,,bc12,7d,84,40,00,0d,1600,0000,01b7,01b4,03aa,03a0,0dd6,0d79,0d0a,0d22,053f,04b0,0caf,0cb2,0831,0181,0487,0264,00aa,0155,0064,0000,fc11,f666,fcd7,01,00,001e,000000ff,07ffffff,
